"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 16 16:28:32 GMT 2025","Wed Jul 16 16:28:58 GMT 2025","26114","","UI.Tests.CartAndCheckoutTests","","UI.Tests.CartAndCheckoutTests","addItemUsingSearchAndCheckItemAndShipping","Add item to the bag, using search and quick shop, which price is bigger than 75$, check that items name and price from search and bag are identical and check status of shipping progress bar",""
"broken","Wed Jul 16 16:29:45 GMT 2025","Wed Jul 16 16:30:05 GMT 2025","20834","","UI.Tests.CreateAnAccountTests","","UI.Tests.CreateAnAccountTests","successfulCreation","Successful creation of an account test (fill all necessary field with valid fields pick birth date and agree with policies)",""
"broken","Wed Jul 16 16:30:13 GMT 2025","Wed Jul 16 16:30:26 GMT 2025","12880","","UI.Tests.CreateAnAccountTests","","UI.Tests.CreateAnAccountTests","CreationWithoutBirthDate","Type valid email, first name, last name, password, confirm password, pick birth date and check message and 'Create Account' button status",""
"passed","Wed Jul 16 16:24:50 GMT 2025","Wed Jul 16 16:24:52 GMT 2025","1522","","API.Tests.CartTests","","API.Tests.CartTests","addItemDeleteItAndCheckCart","Add item to the cart, delete it, check that there is no deleted item in the cart and status code",""
"passed","Wed Jul 16 16:34:13 GMT 2025","Wed Jul 16 16:34:45 GMT 2025","31774","","UI.Tests.MensJeansTests","","UI.Tests.MensJeansTests","pickFilterAndCheckboxAndDisableFilter","On 'Men's Jeans' page pick filter size, check that it is visible, pick one checkbox, check that it is checked and disable it by clicking on appeared filter button",""
"passed","Wed Jul 16 16:31:30 GMT 2025","Wed Jul 16 16:31:36 GMT 2025","5645","","UI.Tests.HomePageSearchTests","","UI.Tests.HomePageSearchTests","typeWithMistakeAndCheckSuggestion","Type the name of the item in the search field and make mistake in one letter - check that simial type of items with correct name has appeared in dropdown",""
"passed","Wed Jul 16 16:24:39 GMT 2025","Wed Jul 16 16:24:39 GMT 2025","548","","API.Tests.AuthorizationTests","","API.Tests.AuthorizationTests","postForValidGuestTokenCheckBody","Post request for guest token for authorization, check status code and response body",""
"passed","Wed Jul 16 16:24:44 GMT 2025","Wed Jul 16 16:24:44 GMT 2025","401","","API.Tests.CartTests","","API.Tests.CartTests","addMoreItemsThanPossible","Add more then 10 amount of one item to the cart and check status code",""
"passed","Wed Jul 16 16:31:12 GMT 2025","Wed Jul 16 16:31:18 GMT 2025","6402","","UI.Tests.HomePageSearchTests","","UI.Tests.HomePageSearchTests","searchItemsAndCheckUrlAndSubtitle","Type name of the item in the 'Search' field, click on Loupe-like button and check url and status code",""
"passed","Wed Jul 16 16:24:49 GMT 2025","Wed Jul 16 16:24:49 GMT 2025","148","","API.Tests.CartTests","","API.Tests.CartTests","addItemUsingInvalidPath","Add item to the cart with invalid path and check status code",""
"passed","Wed Jul 16 16:34:54 GMT 2025","Wed Jul 16 16:35:16 GMT 2025","21935","","UI.Tests.MensJeansTests","","UI.Tests.MensJeansTests","pickFilterAndCheckboxTest","On 'Men's Jeans' page pick filter size, check that it is visible, pick one checkbox, check that the filter has appeared",""
"passed","Wed Jul 16 16:24:44 GMT 2025","Wed Jul 16 16:24:45 GMT 2025","697","","API.Tests.CartTests","","API.Tests.CartTests","addItemAndCheckCart","Add item to the cart, check status code, response body, go to the cart and compare cart id",""
"passed","Wed Jul 16 16:31:36 GMT 2025","Wed Jul 16 16:32:02 GMT 2025","26121","","UI.Tests.JeansItemsTests","","UI.Tests.JeansItemsTests","pickSizeFromDropdownTest","On current item's page click 'Size' button, check that dropdown is visible, scroll to first size, click on it and check that size have appeared",""
"passed","Wed Jul 16 16:32:02 GMT 2025","Wed Jul 16 16:32:32 GMT 2025","29586","","UI.Tests.JeansItemsTests","","UI.Tests.JeansItemsTests","pickSizeAndAddItemToBag","On current item's page pick size, click 'Add to bag' and check that 'Added to Bag' modal has appeared",""
"passed","Wed Jul 16 16:31:18 GMT 2025","Wed Jul 16 16:31:23 GMT 2025","4284","","UI.Tests.HomePageSearchTests","","UI.Tests.HomePageSearchTests","searchAndWaitSuggestions","Type name of the item in the 'Search' field and check that dropdown is visible",""
"passed","Wed Jul 16 16:35:16 GMT 2025","Wed Jul 16 16:35:32 GMT 2025","16237","","UI.Tests.MensJeansTests","","UI.Tests.MensJeansTests","goToCurrentItemsPage","On 'Men's Jeans' page scroll to the first item, move cursor to it, click and check url",""
"passed","Wed Jul 16 16:24:37 GMT 2025","Wed Jul 16 16:24:38 GMT 2025","1343","","API.Tests.AuthorizationTests","","API.Tests.AuthorizationTests","postGuestTokenWithInvalidContentType","Post request for guest token for authorization using invalid value for grant type and check status code",""
"broken","Wed Jul 16 16:30:32 GMT 2025","Wed Jul 16 16:30:51 GMT 2025","18662","","UI.Tests.CreateAnAccountTests","","UI.Tests.CreateAnAccountTests","CreationWithWrongAlreadyUsedEmail","Type email of another user, valid first name, last name, valid password, confirm password, pick birth date, click 'I accept checkbox' and check message and 'Create Account' button status",""
"passed","Wed Jul 16 16:29:36 GMT 2025","Wed Jul 16 16:29:45 GMT 2025","8085","","UI.Tests.CreateAnAccountTests","","UI.Tests.CreateAnAccountTests","CreationWithTooBigPassword","Type valid email, first name, last name, invalid password, confirm invalid password, pick birth date, click 'I accept' checkbox and check message and 'Create Account' button status",""
"passed","Wed Jul 16 16:24:53 GMT 2025","Wed Jul 16 16:24:53 GMT 2025","133","","API.Tests.SearchTests","","API.Tests.SearchTests","getItemsUsingEmptyQuery","Search all items using empty query and check status code",""
"broken","Wed Jul 16 16:36:08 GMT 2025","Wed Jul 16 16:36:28 GMT 2025","20375","","UI.Tests.SingInTests","","UI.Tests.SingInTests","forgotPasswordCheckWithValidEmail","Go to 'Sign In' modal inside 'Account' modal, type valid firstname, click 'Forgot Password' button and check message",""
